Generation,Best_fitness,Mean_fitness,SD_fitness,Sigma
1,48.36738353901743,-5.407560812162064,7.233110346786761,0.42048539287825965
2,36.05681643708667,-6.084686795967619,5.171944486045653,0.40441495542933825
3,18.917806999639946,-6.867361015305321,2.7839084380003403,0.39664312670552293
4,27.26776356609508,-6.305016291845987,4.7862345580951775,0.39443541379651087
5,25.578053832005175,-6.676552268597641,3.918649972515879,0.39576240226020154
6,23.42528162289158,-6.5269439002142455,4.948279675152494,0.4372499663115072
7,40.71885320609141,-6.31348959703772,5.385489562852884,0.4364989540915373
8,42.72309348611501,-6.404503346163849,5.472672624004592,0.43680718386372236
9,42.84352900498088,-6.372337625302484,5.893707685880189,0.43608792553883124
10,28.10524153613554,-5.938369501693006,6.042447525562243,0.44078156675394903
11,36.82276857803218,-5.542431999563857,7.40590172708376,0.4891134181713494
12,56.81700353917119,-3.654888613240136,11.445140464604393,0.44426488238888734
13,50.09373342756037,-3.9207169742129873,11.47149863169444,0.44916050095147547
14,44.890264913670315,-4.550012755807615,9.13613191948845,0.45219850228779024
15,29.175422798145174,-5.439290710902343,7.363470485130622,0.45249322042570256
16,46.92368179653329,-2.9715581171502556,12.54927909718125,0.4488124763358672
17,46.94859222396831,-4.612346405542132,9.670651909331385,0.49251245217241707
18,49.01179402970521,-3.423112461080042,11.524046320619851,0.48979846975546515
19,46.888860592266894,-3.1016402487849053,12.11259178161115,0.4872656380834138
20,46.74422803729599,-5.1052790854822545,8.250665562953209,0.4874925209908037
21,33.354800747800084,-5.316538480994885,7.239111931239629,0.48778478230985584
22,49.037042424243225,-5.164356148867468,9.543550507183257,0.5
23,56.8170539411392,-4.824891012346613,9.274325772134992,0.44597064852432855
24,52.105597037366536,-4.203732849241719,10.883075248472442,0.4434051775135875
25,56.81509353390277,-2.831015826690457,13.495950537133153,0.44696779658107105
26,52.481234275301404,-5.589319418396974,8.597898648270988,0.45139254065348855
27,56.540844733835165,-4.345112781529585,10.59503732382142,0.45297746060701327
28,50.7385436038591,-3.7747982561149116,12.186851579774064,0.5
29,61.02680065385772,-3.0076456952111124,12.630310356636258,0.44954971538537875
30,56.84758166663947,-4.750783127705753,9.83826538203861,0.45016270737599334
