Generation,Best_fitness,Mean_fitness,SD_fitness,Sigma
1,8.548542449605158,-6.949519007071542,1.190230263670915,0.42288104540479676
2,-6.03858139627767,-7.165100191797089,0.412161543478809,0.4088701662885996
3,23.864899331845972,-7.1427875671806875,2.2296501602757903,0.3629445996121359
4,-6.40638991486391,-7.320371154541545,0.30297813029895126,0.3610174511757344
5,-6.186518529422744,-7.413952277060423,0.26757215470046036,0.35627678252977996
6,-6.350557066978681,-7.384522146004095,0.3044332712238522,0.3560511292109671
7,0.31217772131978094,-7.342366601444082,0.6193330053348822,0.35601991106756603
8,-6.43804682606417,-7.402643021599837,0.287003339679393,0.3908940055429041
9,-6.37289173151697,-7.343945465589666,0.3402591604040011,0.39250271014540794
10,-5.822346681247219,-7.300224035025965,0.3702268174714664,0.39551154445671116
11,-5.683387117713224,-7.2654511084399545,0.4021728817660526,0.3967646430073211
12,-5.822214256563045,-7.3069995639749665,0.37961599892045045,0.4001240298090413
13,-6.406512368178057,-7.366891648862147,0.34256918816356435,0.4447499970007998
14,-4.74131257437497,-7.279586071177135,0.4437990701433277,0.4506088698836009
15,11.284947819794482,-7.211613953865403,1.3618781801924271,0.45294810096951155
16,-4.784972080608666,-7.329263935031693,0.38848178663974836,0.45493274482567475
17,-6.0216282683969045,-7.317057712898301,0.38237406622506265,0.45720459018326276
18,-5.900613278892454,-7.333259799680013,0.3721930444605529,0.5
19,-5.613864883126752,-7.263374408667277,0.504157230983674,0.5000818973080846
20,-6.049294840028613,-7.29809817039453,0.4138313456276068,0.4984064819521335
21,-5.666020319947227,-7.286522459000922,0.41899765036056713,0.49900857488331946
22,0.0299274457207801,-7.255510495254336,0.6500084494301291,0.4975683602292445
23,25.561565990190118,-7.108143442810489,2.582495952011384,0.4437924158852023
24,13.385151796401317,-7.291410580728395,1.5185322198369517,0.4375608596662885
25,9.755717540939717,-7.284851204965308,1.253884522419554,0.4371801585741381
26,-6.349879782764964,-7.3689294017458495,0.33074491867596517,0.4376324707803845
27,-6.391601630122514,-7.358003279511104,0.35917133560048004,0.4384859063509959
28,-6.011759448215155,-7.324325145620435,0.37142408545729977,0.48403243497529536
29,-5.995576150780354,-7.266561469486099,0.42195273152465446,0.4861752595089504
30,-6.0932965616293275,-7.317891450052125,0.4087951527209987,0.49077272617823015
