Generation,Best_fitness,Mean_fitness,SD_fitness,Sigma
1,34.41160938319345,-4.375640613845494,10.653599134636302,0.42553937216169113
2,32.78996563711704,-1.914679985770661,15.233320297267907,0.4131356081973927
3,31.10858064620525,-8.218301977005954,12.252526928217428,0.40415790868760887
4,38.56605936880436,-7.122236514579036,13.76721407386689,0.36290557901506704
5,33.9665975534641,-10.910653617242522,10.601789944834238,0.36152595855246805
6,28.05371295265732,-12.3664142781029,7.104558517425117,0.36080587446645335
7,29.009521842180593,-13.792957214586561,5.314486030535021,0.36018616422973065
8,10.673147371183944,-14.178866149596542,4.260929068654946,0.3626815391212642
9,34.663811179566665,-13.16896401601959,8.018285104293877,0.40270479897972433
10,26.419550882039093,-12.32291208473884,7.448998477859989,0.40679981907777396
11,-5.568992883082057,-12.96569579761076,4.5661856622790395,0.4091992684064874
12,6.400685544253079,-13.666277413262806,4.593000863908253,0.4069070774361478
13,23.95787897112823,-12.941231565012773,5.682718402242759,0.4048371299389159
14,18.537695239423684,-13.072540774922839,5.662564623832626,0.4432606775703975
15,18.431528175318796,-12.089115863130838,5.738737169375339,0.4430818353618359
16,32.310872705146025,-12.492391592755506,6.179528639260042,0.4414235276648297
17,26.179033924567165,-12.445955343278385,6.438971729046376,0.4388004561673709
18,28.57247223892417,-11.674198718186677,7.940065181777964,0.4355200401748968
19,26.26708462890427,-13.17779067308691,6.843385642265774,0.4779839388261684
20,25.994246135381985,-12.540153722107753,6.136399072519929,0.48067330419666016
21,8.168253585906434,-12.31641061553595,5.664772622729163,0.4879960945156839
22,28.91899351099072,-12.357907131968636,7.065282155516179,0.4963724313424856
23,7.999228106667012,-13.067023956866045,5.630639159985561,0.501325055581206
24,29.0046621331781,-12.331598524254131,7.203023720314908,0.5
25,23.687992164826532,-12.55406654362102,6.439774996251054,0.5049155990184356
26,27.92954280150826,-13.023081143263171,7.299002966065686,0.5112289584084163
27,26.18661791603061,-13.043997027771923,6.228728494870359,0.5149720819433344
28,16.651115634118327,-12.73371755079328,6.273047636273271,0.526026820039023
29,26.310704048223606,-13.090645505079983,8.390375998765597,0.5
30,28.960281354032194,-13.65470326507979,6.233756861461614,0.502512651494951
