Generation,Best_fitness,Mean_fitness,SD_fitness,Sigma
1,30.68702025759794,-5.4712690834244855,3.598626559873076,0.42320251134654413
2,25.12967535253896,-5.453174082508692,3.263852394133261,0.4115043421952215
3,25.913888501471224,-5.5517502457771055,3.4810635719747713,0.40669041055455957
4,15.448447959079282,-6.028702687344572,2.260876661513172,0.4074331413891677
5,7.261942608261471,-6.3196469636264165,1.9661213260082813,0.41453746145759346
6,3.599379308115683,-6.676091632262205,1.1498212070814482,0.4600327638483517
7,11.187745221555033,-6.439785043705285,2.000586209486363,0.4666527255574576
8,1.892228230280761,-6.603657007745427,1.318989596444262,0.47761412229352634
9,15.80220718849305,-6.500927657850459,2.314043374055658,0.4897437794772541
10,6.20784098235303,-6.945075328821099,1.357284744169589,0.49940236732615195
11,4.646935325540957,-6.709053286373894,1.5528551365220233,0.5
12,-0.7358515107069437,-6.887550328690517,1.366570326727388,0.5056682757927693
13,-0.14490420574348306,-6.871912489491255,1.1529072906748223,0.5091617375293145
14,9.02017311427283,-6.952528928221995,1.776779003188218,0.5075320318061555
15,-0.3494389894298777,-6.940354077833365,1.1193883574779764,0.5056482686282165
16,6.314178554222712,-6.850715497712064,1.4102541880471153,0.5
17,3.071016038794051,-6.85002352010328,1.3313519152818278,0.5014003826442629
18,-0.8812266054255389,-7.055858235372779,1.2658928097685578,0.5042003382252053
19,3.0528281811252587,-6.904491650915711,1.575236750616364,0.5054110829245155
20,0.13682776772919425,-6.701299685056926,1.4866938493619313,0.5078621463271774
21,2.5135943330604924,-6.767338122443431,1.6054861882347986,0.5
22,0.9072913491507002,-6.938841929320339,1.6872795795549063,0.5021898327398836
23,3.3063953372163084,-6.816693694804785,1.9655036871765525,0.5072087998293725
24,2.9767227013990407,-6.594111092332323,1.905874789867167,0.5096904139223406
25,-0.13001557847794842,-6.719605821670418,2.0486405289480176,0.5118573851337471
26,26.53738517594842,-6.430272899268385,3.269021023304163,0.5
27,7.595932219119415,-6.461952379852749,2.8196252235249353,0.5041694288506468
28,4.307420536062793,-6.47973339168993,2.5955543402705645,0.5085587188417622
29,11.450579395725754,-6.564783219419451,2.6461733449561526,0.5128951466252776
30,11.78985478259358,-6.633418600545249,3.245871864537267,0.5171857146387796
