Generation,Best_fitness,Mean_fitness,SD_fitness,Sigma
1,12.326700652124728,-5.48127465360638,2.639714821687716,0.42314041619909903
2,17.85113023172266,-5.770240466499103,2.414639758394617,0.36589832777936837
3,7.946282856198588,-6.269930735345053,1.4526975319740025,0.35998058880804495
4,14.74341880562833,-6.611937244411133,1.6543328013887566,0.35945181728634884
5,3.0825560953950344,-6.750985598623263,1.0906260746229874,0.3622448257658984
6,-0.495556852435703,-7.011091513662705,0.6437547502922241,0.36780620142681836
7,3.6613688757688294,-6.802883983312731,1.1637464829160102,0.4108448571550717
8,-0.8319958505812508,-6.865430838463624,0.8714387773645829,0.4164279999556688
9,3.001036357663388,-6.8278564462120945,1.5863693375510655,0.4212254444691527
10,2.0209965245925563,-6.927009432216109,1.0526211519312183,0.42567816565599775
11,-1.8102194621581376,-7.045349919724855,0.6432567110943874,0.43226420930824716
12,2.082498410626634,-6.833806209319834,1.3240083504696816,0.4812716426667735
13,19.09105982984657,-6.691095225125265,2.11815750972032,0.43651461075454967
14,-1.5614726467809277,-7.025877723772753,0.7351208529141294,0.4367254461014794
15,1.921432435538252,-7.05135104537117,0.97144990844855,0.43714558759597816
16,-1.1735143794978526,-7.1078539382117265,0.6442482241636188,0.439933727588427
17,-2.5455238297072817,-7.093579015098039,0.7253435824444718,0.439622506167936
18,-0.17129552297827377,-7.122163165512091,0.6131008500953418,0.4832211597301089
19,-4.68755721305763,-7.110698719463562,0.4601877540107722,0.4831538730002948
20,-0.6633696967264608,-7.1269668706923675,0.7171000653531782,0.4826770448188509
21,-1.441132035730062,-7.174151831360312,0.8802113138416375,0.48515621705531714
22,5.08046381506724,-6.998398088163312,1.325014393816704,0.48750549224269024
23,2.000452776138504,-6.941594213402969,1.49496833296082,0.5
24,5.178925317288009,-6.901405944627936,1.3441489768987913,0.501813557341986
25,2.2934960076428847,-7.01313800945038,1.0789715242700382,0.5048341589501152
26,21.127180712496784,-6.888296935140416,2.1871538042098875,0.45628674392599505
27,-0.6633696967264608,-7.156995675621208,0.5727107564906815,0.4570958164994553
28,-4.740563757781891,-7.222208456916819,0.2798457908612223,0.4589020397930412
29,-0.6256927221984956,-7.131315668749428,0.7530130879717019,0.46110654275768703
30,-0.6633696967264608,-7.153720302160791,0.8459516962954686,0.4579184734803566
